Name	Set	ImageFile	OfficialSet	Type	Brigade	Strength	Toughness	Class	Identifier	SpecialAbility	Rarity	Reference	Sound	Alignment	Legality
Assyrian Archer (PoC)	PoC	LR25-Assyrian-Archer	Prophecies of Christ	Evil Character	Pale Green	3	5	Warrior	Generic, Assyrian	You may discard a Hero in a territory. If you do, discard this Evil Character after battle. May band to an Assyrian.	Legacy Rare	II Kings 19:32		Evil	Rotation
Assyrian Camp	Pri	Assyrian_Camp_(Pi)	Priests	Fortress						Protect Assyrian Evil Characters in your territory from discard, conversion, and capture unless King Hezekiah is in play or set aside.	Rare	II Kings 19:35		Evil	
Assyrian Camp (LoC)	LoC	LoC_036-Assyrian-Camp	Lineage of Christ	Evil Character/Fortress	Pale Green	9	12	Warrior	Generic, Assyrian	FORT: While an Assyrian is in play, negate characters in territories and Lost Souls. EC: Prevent multi-brigade Enhancements used by Heroes (except meek Heroes).	Common	II Kings 19:35		Evil	Rotation
Assyrian Forces (LoC)	LoC	LoC_205-Assyrian-Forces	Lineage of Christ	Evil Character	Pale Green	11	8	Warrior	Generic, Assyrian	You may take a card with a capture ability from Reserve, transfer a captured character, or exchange two Lost Souls.	Common	II Chronicles 33:11		Evil	Rotation
Assyrian Invaders	PoC	200-Assyrian-Invaders	Prophecies of Christ	Evil Character	Pale Green	7	8	Warrior	Generic, Assyrian	You may take a card from opponent’s Reserve or discard a Fortress. Opponent may discard an Artifact from Artifact pile instead. Cannot be interrupted.	Common	Micah 5:5		Evil	Rotation
Assyrian Laborers	PoC	113-Assyrian-Laborers	Prophecies of Christ	Evil Character	Pale Green	3	8	Territory	Generic, Assyrian, Holds a single-brigade pale green Curse	(Star) Play this character. (EC) If played from hand, you may reserve a card from hand to activate a pale green Curse from Reserve on this card.	Common	Isaiah 31:8		Evil	Rotation
Assyrian Officer (LoC)	LoC	LoC_206-Assyrian-Officer	Lineage of Christ	Evil Character	Pale Green	3	3	Warrior	Generic, Assyrian, X = # of your Assyrians	You may draw X (limit 3). If you do not, may band to a generic warrior to increase that warrior X/X (limit 3/3).	Common	II Kings 18:24		Evil	Rotation
Assyrian Siege Army	FoOF	Assyrian_Siege_Army_(FF2)	Faith of Our Fathers	Evil Character	Pale Green	12	12	Warrior	Generic	If blocking and another Assyrian is in play, you may negate and discard an Artifact, single color Site, or Fortress in play or set aside area. Cannot be negated.	Fixed	Isaiah 23:13		Evil	
Assyrian Siege Army (Roots)	RR	214-Assyrian-Siege-Army.jpg	Roots	Evil Character	Pale Green	12	12	Warrior	Assyrian, Generic	If blocking and another Assyrian is in play, you may negate and discard a card in a territory (except a character).		Isaiah 23:13		Evil	Rotation
Assyrian Survivor	FoOF	Assyrian_Survivor_(FF2)	Faith of Our Fathers	Evil Character	Pale Green	2	2	Warrior	Generic	Protected from discard abilities on opponent's cards. If defeated, capture to opponent's Land of Bondage. Cannot be interrupted.	Fixed	Isaiah 31:8		Evil	
Assyrian Survivor (Roots)	RR	219-Assyrian-Survivor.jpg	Roots	Evil Character	Pale Green	2	2	Warrior	Assyrian, Generic	Protect this card from discard abilities used by opponent. If defeated, capture this card to opponent instead.		Isaiah 31:8		Evil	Rotation
Astrologers (PoC)	PoC	LR29-Astrologers	Prophecies of Christ	Evil Character	Crimson/Pale Green	3	3		Generic, Magician, Babylonian	Reveal the top or bottom card of deck:  If it is evil, take it and opponent must discard their card in territory.  Cannot be interrutped.	Legacy Rare	Daniel 2:27		Evil	Rotation
Astrologers (Pr)	Prp	Astrologers_(Pr)	Prophets	Evil Character	Gold	5	8				Uncommon	Daniel 2:27		Evil	
Astrologers (TxP)	TxP	Astrologers_(TxP)	Thesaurus ex Preteritus	Evil Character	Crimson/Pale Green	3	3		Generic, Magician (Babylonian)	Reveal the top or bottom card of deck. If it is evil, add it to hand and opponent must discard one of his cards from territory, except a Lost Soul. Cannot be interrutped.	Fixed	Daniel 2:27		Evil	
Athaliah	Wom	Athaliah_(Wo)	Women	Evil Character	Brown	2	2			Character gains 1/1 for each Purple Brigade Hero discarded or captured while she is in play.	Common	II Kings 11:1		Evil	
Athaliah, Usurper Queen (LoC)	LoC	LoC_185-Athaliah	Lineage of Christ	Evil Character	Brown	5	6	Warrior	Queen of Judah, X = # of your meek Lost Souls	You may draw X (limit 3). If blocking, you may discard a royal human (except a meek Hero) after battle. Cannot be negated if opponent has used a search ability this turn.	Common	II Kings 11:1		Evil	Rotation
Attending Angel (Ap)	Ap	Attending_Angel_(Ap)	Apostles	Hero	Silver	6	6				Common	Matthew 4:10-11		Good	
Attending Angel (TxP)	TxP	Attending_Angel_(TxP)	Thesaurus ex Preteritus	Hero	Silver	6	6		Generic	Search deck for a good Enhancement, or discard an evil card placed on a Hero.	Fixed	Matthew 4:10-11		Good	
Authority of Christ (GoC UR+)	GoC	081-Authority-of-Christ-UR+	Gospel of Christ	GE	Clay/Purple			Star		STAR: Set aside a Hero from hand for 2 turns. On return, draw 3. GE: Discard all Evil Characters that you do not control. Cannot be negated if used by a meek disciple.	Ultra Rare	Matthew 8:26		Good	Rotation
Authority of Christ (GoC)	GoC	081-Authority-of-Christ-UR	Gospel of Christ	GE	Clay/Purple			Star		STAR: Set aside a Hero from hand for 2 turns. On return, draw 3. GE: Discard all Evil Characters that you do not control. Cannot be negated if used by a meek disciple.	Ultra Rare	Matthew 8:26		Good	Rotation
Authority of Christ (L)	Main	Authority_of_Christ_(UL)	Main	GE	Purple					All Evil Characters in play must be discarded.	Rare	Matthew 8:26-27		Good	
Authority of Christ (Promo)	Pmo-P1	Authority_of_Christ_(Promo)	Promo	GE	Purple					Discard all Evil Characters in play.  May not be interrupted, negated, or prevented.	Promo	New Testament		Good	
Authority of Christ (UL)	Main UL	Authority_of_Christ_(UL)	Main Unlimited	GE	Purple					All Evil Characters in play must be discarded.	Rare	Matthew 8:26-27		Good	
Authority of Peter (Ap)	Ap	Authority_of_Peter_(Ap)	Apostles	GE	Red					Discard any demon or beast in play.	Rare	Matthew 16:9		Good	
Authority of Peter (I)	I	Authority_of_Peter_(I)	I	GE	Purple	2	2			Remove an Evil Character from the game. Topdeck a Hero from your discard pile.	Deck	Matthew 16:9		Good	Rotation
Avenged!	FoM	097-Avenged	Fall of Man	GE/EE	Gold/Black	-4	2	Territory		GE: Discard your Judges human Hero to discard all evil cards in battle. EE: You may take an evil O.T. Fortress from deck. Capture a Hero in battle.	Rare	Judges 16:28		Neutral	Rotation
Axe ( C)	2E	Axe_(CU)	2nd Edition	EE	Brown	2	3				Deck	Ezekiel 26:9		Evil	
Axe (L)	Main	Axe_(UL)	Main	EE	Brown	2	1				Common	Ezekiel 26:9		Evil	
Axe (TxP)	TxP	Axe_(TxP)	Thesaurus ex Preteritus	EE	Crimson	3	2	Weapon	Based on Prophecy, Depicts a Weapon	If used by a Babylonian, you may discard this card to discard a Fortress. Opponent may discard one of his Sites instead.	Fixed	Ezekiel 26:9		Evil	
Axe (UL)	Main UL	Axe_(UL)	Main Unlimited	EE	Brown	2	1				Common	Ezekiel 26:9		Evil	
Azariah the High Priest	Pri	Azariah_the_High_Priest_(Pi)	Priests	Hero	Teal	10	9		Solomon's Temple High Priest, House of Eleazar	You may draw a card.  If King Hezekiah is in play, you may search draw pile for Storehouse or Solomon's Temple and put it in play.	Uncommon	II Chronicles 31:10		Good	
Azariah, the Strong / Uzziah, the Proud (LoC)	LoC	LoC_043-Azariah	Lineage of Christ	Hero/Evil Character	Purple/Red/Brown	6(8)	8(6)	Warrior	King of Judah (King of Judah, X = # of your meek Lost Souls)	HERO: You may discard an evil Fortress (or take a good weapon or red warrior from deck). EC: You may bounce an Artifact. Negate up to X good or neutral cards.	Common	II Kings 14:21/II Chronicles 26:21		Neutral	Rotation
Azor, the Recusant / Azor, the Submissive (LoC)	LoC	LoC_102-Azor	Lineage of Christ	Hero	Gold (Gold/Red)	11(4)	4(12)	Star	O.T., Postexilic, X = # of your meek postexilic Heroes (O.T., Postexilic)	STAR: Draw X (limit 3). TOP: Negate pale green humans. You may banish 3 evil cards from discard pile to discard an idol, Site or evil Fortress. BOTTOM: Meek	Common	Matthew 1:14		Good	Rotation
Baal Worship	Prp	Baal_Worship_(Pr)	Prophets	EE	Crimson					Evil Characters may not repent this turn.	Common	I Kings 16:31		Evil	
Baal Worship (FoM)	FoM	116-Baal-Worship	Fall of Man	EE	Black	-1	-1	Territory	X = # of an opponent's good brigades	Negate a card. If used by an Canaanite, you may discard a human in territory to draw X (limit 3 unless played in battle).	Common	I Kings 16:31		Evil	Rotation
Babel	Pat	Babel_(Pa)	Patriarchs	EE	Black	1	3			All Evil Characters that holder chooses may enter battle.	Rare	Genesis 11:4		Evil	
Babel (FoM)	FoM	031-Babel-UR	Fall of Man	City	Blue/Evil				X = # of opponent's good and evil brigades	SITE: If you play this Site, you may take an evil O.T. human from Reserve.  FORT: Negate opponents' characters with toughness X or less.	Ultra Rare	Genesis 11:4		Evil	Rotation
Babylon	Wom	Babylon_(Wo)	Women	Site	Red						Common	II Kings 24:16		Neutral	
Babylon (The Harlot) (RoJ AB)	RoJ (AB)	RoJ_AB_N19-Babylon-The-Harlot-R	Revelation of John (Alternate Border)	Site/Evil Character	Red/Silver (Orange/Crimson)	7	5		Begins as a Site. Human, Babylonian	SITE: If you are attacked, you may convert this Site to an Evil Character. EC: The Harlot may band to an Evil Character or discard a martyr.	Rare	Revelation 17:5		Neutral	Rotation
Babylon the Great	War	Babylon_the_Great_(Wa)	Warriors	Evil Character	Crimson	7	2				Common	Revelation 17:5		Evil	
Babylon The Harlot (RoJ)	RoJ	19-Babylon-The-Harlot-R	Revelation of John	Site/Evil Character	Silver/Red/Crimson/Orange	7	5		Begins as a Site. Human, Babylonian	If you are attacked, you may convert this Site to an Evil Character. The Harlot may band to an Evil Character or discard a martyr.	Rare	Revelation 17:5		Neutral	Rotation
Babylonian Banquet Hall	FoOF	Babylonian_Banquet_Hall_(FF)	Faith of Our Fathers	Site	Green				Babylonian	This Site may hold one Lost Soul for each Babylonian Site in play.	Fixed	Daniel 5:3		Neutral	
Babylonian Forces	Pri	Babylonian_Forces_(Pi)	Priests	Evil Character	Crimson	9	7	Warrior	Generic, Babylonian	Negate all special abilities on Red brigade Heroes.  You may search draw pile for Headquarters at Riblah and put it in play.	Common	II Kings 25:1		Evil	
Babylonian Siege Army	PoC	142-Babylonian-Siege-Army-R	Prophecies of Christ	Evil Character	Crimson	9	9	Warrior	Generic, Babylonian, Unity: Evil Characters (Crimson)	Negate a good or neutral card. If it is an Artifact, take it. If it is a human, capture it. If it is an Enhancement, discard it. If it is a Site or Fortress, reserve it.	Rare	Ezekiel 24:2		Evil	Rotation
Babylonian Soldiers	FoOF	Babylonian_Soldiers_(FF2)	Faith of Our Fathers	Evil Character	Crimson	1	1	Warrior	X = # of captured characters in your territory	If blocking, you may remove a captured character from the game to negate and discard an Artifact or draw X (limit 3). Increase this character by X/X.	Fixed	Daniel 3:20		Evil	
Backward Shadow	Ki	Backward_Shadow_(Ki)	Kings	GE	Green					Heal a Hero in play.  Abilities (*/*) of that Hero may not decrease below Hero's face value for remainder of game.	Common	II Kings 20:11		Good	
Bad Dealings (F)	3E	Bad_Dealings_(F)	3rd Edition	EE	Pale Green	2	2			Opponent must discard a card from hand.  Holder may draw a card.	Deck	I Samuel 2:23-24		Evil	
Bad Dealings (I)	I	Bad_Dealings_(I)	I	EE	Brown	3	3			Negate and discard the last good Enhancement played this battle. You may draw 1.	Deck	I Samuel 2:23-24		Evil	Rotation
Bad Decision	Pat	Bad_Decision_(Pa)	Patriarchs	EE	Brown	2	2			If opponent has an empty single color site, capture any Hero in play and place there.	Rare	Genesis 13:10-11		Evil	
Bad Figs	Prp	Bad_Figs_(Pr)	Prophets	EE	Brown	2	3				Common	Matthew 24:2		Evil	
Bad Figs (Wa)	War	Bad_Figs_(Wa)	Warriors	EE	Brown	2	3			Selected Hero is poisoned and decreases 0/2 per turn.  If Hero reaches */0 or less, discard Hero.	Common	Jeremiah 24:2		Evil	
Bad Intentions	3E	Bad_Intentions_(F)	3rd Edition	EE	Pale Green	3	3			This card is worth 6/6 if there are two or more Evil Characters in battle.	Deck	Genesis 11:4		Evil	
Baggage	Prp	Baggage_(Pr)	Prophets	GE	Red					Take any Evil Character prisoner and place in your Land of Bondage.  Character is treated as a Lost Soul.	Rare	Ezekiel 12:4		Good	
Balaam (Di)	Di	Balaam_(Di)	Disciples	Evil Character	Pale Green	6	7		Magician, Prophet	May use gray Enhancements. Search discard pile for a gray or pale green O.T. Curse.  Prevent special abilities on Enhancements.  Cannot be prevented.	Fixed	Numbers 22:7		Evil	
Balaam (FoM)	FoM	109-Balaam	Fall of Man	Evil Character	Pale Green	6	7		Magician, Prophet	May use gray Enhancements. Take a gray or pale green O.T. Curse from discard pile. Prevent Enhancements. Cannot be prevented.	Legacy Rare	Numbers 22:7		Evil	Rotation
Balaam (Pr)	Prp	Balaam_(Pr)	Prophets	Evil Character	Gray	6	7				Uncommon	Deuteronomy 23:5		Evil	
Balaam Son of Beor	IR	080-Balaam-Son-of-Beor-R	Israel's Rebellion	Evil Character	Gray/Pale Green	5	7	Territory	Magician, Prophet	If an opponent plays an Enhancement in their territory, you may draw 2 from bottom of deck. If blocking, you may take an evil Dominant from deck.	Rare	Numbers 22:21		Evil	Rotation
Balaam's Disobedience	Pat	Balaam's_Disobedience_(Pa)	Patriarchs	EE	Gray	2	3			Evil Character is immune to human Heroes unless an angel is in Battle.  This ability cannot be negated.	Common	Numbers 22:27		Evil	
Balaam's Disobedience (FoM)	FoM	110-Balaams-Disobedience	Fall of Man	EE	Gray	2	3			Protect Evil Character from human Heroes unless an angel is in battle. Cannot be negated.	Legacy Rare	Numbers 22:7		Evil	Rotation
Balaam's Disobedience (Roots)	RR	194-Balaams-Disobedience.jpg	Roots	EE	Gray	2	3			Protect Evil Character from human Heroes unless an angel is in battle. Cannot be negated.		Numbers 22:27		Evil	Rotation
Balaam's Prophecy	PoC	040-Balaams-Prophecy	Prophecies of Christ	EE	Gray/Pale Green			Territory		(Star) Look at a hand or a Reserve. (EE) Reveal the top 6 cards of a deck: Take a * card (or add it to battle). Topdeck the rest in any order. Cannot be prevented.	Common	Numbers 24:17		Evil	Rotation
Balaam's Teaching (RoJ AB)	RoJ (AB)	RoJ_AB_N95-Balaams-Teaching	Revelation of John (Alternate Border)	EE	Gray/Pale Green	2	4		X = # of Heroes withdrawn	Withdraw any number of Heroes. If played against an O.T. Hero, you may draw X. Cannot be prevented.	Common	Revelation 22:15		Evil	Rotation
Balaam's Teaching (RoJ)	RoJ	95-Balaams-Teaching	Revelation of John	EE	Gray/Pale Green	2	4		X = # of Heroes withdrawn	Withdraw any number of Heroes. If played against an O.T. Hero, you may draw X. Cannot be prevented.	Common	Revelation 2:14		Evil	Rotation
Balance	AW	Balance_(AW)	Angel Wars	GE	Red/Silver	2	2			If two or more Heroes are in battle and if there are more evil cards in play than good cards, discard evil cards from play until the number of evil cards equals the number of good cards.	Ultra Rare	Galatians 6:2		Good	
Balm of Gilead (B)	Main	Balm_of_Gilead_(B)	Main	GE	Blue					Heal any Hero from the Blue Brigade that is being discarded.	Rare	Jeremiah 8:22		Good	
Balm of Gilead (D)	2E	Balm_of_Gilead_(DL)	2nd Edition	GE	Blue	2	2			Heal any Hero from the Blue Brigade that is being discarded.	Deck	Jeremiah 8:22		Good	
Balm of Gilead (DU)	2ER	Balm_of_Gilead_(DU)	2nd Edition Revised	GE	Blue	2	2			Heal any blue brigade Hero in play.	Deck	Jeremiah 8:22		Good	
Balm of Gilead (UL)	Main UL	Balm_of_Gilead_(UL)	Main Unlimited	GE	Blue					Heal any Hero from the Blue Brigade that is being discarded.	Rare	Jeremiah 8:22		Good	
Banishment	Ap	Banishment_(Ap)	Apostles	EE	Gray					Take any demon prisoner and place in your Tartaros site.  If Tartaros is not in play, discard the demon.	Rare	II Peter 2:4		Evil	
Banks of the Nile/Pharaoh's Court	RoA	Banks_of_the_Nile_(RA)	Rock of Ages	Site	Green/Gold					This card enters play as Banks of the Nile. If a Hero rescues a Lost Soul from this Site, it becomes Pharaoh's Court. / While this Site is occupied, prevent ignore abilities on opponent's good O.T. cards.	Fixed	Exodus 7:10		Neutral	
Banner (B)	Main	Banner_(B)	Main	GE	White	2	2				Common	Psalm 60:4		Good	
Banner (UL)	Main UL	Banner_(UL)	Main Unlimited	GE	White	2	2				Common	Psalm 60:4		Good	
Banner of Love (L)	Main	Banner_of_Love_(UL)	Main	GE	Green	2	1				Common	Song of Solomon 2:4		Good	
Banner of Love (UL)	Main UL	Banner_of_Love_(UL)	Main Unlimited	GE	Green	2	1				Common	Song of Solomon 2:4		Good	
Banner of Love [2024 - State]	Pmo-P3	Banner-of-Love-State.jpg	Promo	GE	Purple/White	2	4		Involves music	Interrupt the battle. Hero may band to a human. If a male and female human Hero are in battle, you may discard an evil card.	Promo	Song of Solomon 2:4		Good	Rotation
Banner of Truth (D)	2E	Banner_of_Truth_(DU)	2nd Edition	GE	White	2	2			All of holder's Heroes gain 2/2 until end of turn.	Deck	Psalm 60:4		Good	
Banner of Truth (Pi)	Pri	Banner_of_Truth_(Pi)	Priests	GE	White	2	2		Involves Music	Negate all special abilities on evil cards with 'False' or 'Deceit' in the title.  Following battle, you may place this card in your territory.  It remains active until discarded.	Common	Psalm 60:4		Good	
Baptism	2E	Baptism_(DU)	2nd Edition	GE	Blue					Convert any human Evil Character in play to a blue brigade Hero.	Deck	Matthew 3:16		Good	
Baptism of Jesus	Di	Baptism_of_Jesus_(Di)	Disciples	GE	Green	1	3			Negate special abilities on Evil Character Characters and weapons.  If used by a N.T. prophet, discard an Evil Character card.  Cannot be prevented.	Fixed	Matthew 3:16		Good	
Baptism of Jesus (GoC)	GoC	075-Baptism-of-Jesus	Gospel of Christ	GE	Clay/White	1	3		Christ/Jesus in Title/Scripture, Gospel	If used by John the Forerunner (or a meek Hero), negate an evil card and you may draw 2. You may take a clay card from Reserve or banish an evil card.	Common	Matthew 3:16		Good	Rotation
Barabbas	Pri	Barabbas_(Pi)	Priests	Evil Character	Gray	10	9			If a Pharisee or Sadducee is in play, you may discard a captured Hero.  If Barabbas is captured, release him at the end of owner's next turn.	Uncommon	Mark 15:7		Evil	
Barabbas (GoC)	GoC	190-Barabbas	Gospel of Christ	Evil Character	Crimson	12	9		Gospel, Thief	You may play an evil Enhancement that you do not own regardless of brigade. If you do not and if blocking, you may take an evil Enhancement from a Reserve. Cannot be interrupted.	Common	Mark 15:7		Evil	Rotation
Barak	Pat	Barak_(Pa)	Patriarchs	Hero	Red	5	4			If Deborah is in play, Barak gains initiative to play the first enhancement once an Evil Character enters battle.	Common	Judges 4:6		Good	
Barak (CoW AB)	CoW (AB)	CoW_AB_N83-Barak	Cloud of Witnesses (Alternate Border)	Hero	Red	5	4	Warrior, Cloud	Musician	You may exchange Barak with Jael in territory. While Deborah is in play, good Judges Enhancements cannot be negated.	Common	Judges 4:10		Good	Rotation
Barak (CoW)	CoW	Barak_(CoW)	Cloud of Witnesses	Hero	Red	5	4	Warrior	Musician	You may exchange Barak with Jael in territory. While Deborah is in play, good Judges Enhancements cannot be negated.	Common	Judges 4:16		Good	Rotation
Barnabas (B)	Main	Barnabas_(B)	Main	Hero	Blue	4	4				Uncommon	Acts 11:25-26		Good	
Barnabas (D)	2E	Barnabas_(DU)	2nd Edition	Hero	Blue	5	4			Hero is immune to any card with the word False in card title.	Deck	Acts 11:25-26		Good	
Barnabas (EC)	TEC	Barnabas_(EC)	Early Church	Hero	Clay/Green	5	4			Protect N.T. Lost Souls and clay Heroes from Pharisees, Sadducees, and Heretics. May band to Mark. Search opponent's deck for a lost soul. Cannot be prevented.	Common	Acts 11:22		Good	Rotation
Barnabas (UL)	Main UL	Barnabas_(UL)	Main Unlimited	Hero	Blue	4	4				Uncommon	Acts 11:25-26		Good	
Barnabas, the Bold (Roots)	RR	058-Barnabas.jpg	Roots	Hero	Clay	3	4		Jerusalem, Missionary, Prophet	Protect Lost Souls from evil N.T. cards. You may play a Lost Soul from a deck. Cannot be prevented.		Acts 11:22		Good	Rotation
Barsabbas	TEC	Barsabbas_(EC)	Early Church	Hero	Clay/Green	9	6		Missionary, Prophet, Jerusalem	Protect clay Heroes in territories from harm. May band to Silas.	Rare	Acts 15:22		Good	Rotation
Bartholomew	Di	Bartholomew_(Nathanael)_(Di)	Disciples	Hero	Purple	10	10			Negate special abilities on cards with the word false, lying, deception, or deceit in the title.  Protect disciples from conversion and capture.	Fixed	John 1:47		Good	
Bartholomew (Nathanael) / Bartholomew the True (GoC)	GoC	111-Bartholomew	Gospel of Christ	Hero	Purple (Clay)	7(8)	8(7)		Disciple, Jerusalem, Missionary, Martyr	TOP: You may reveal a good Dominant from hand. If you do, good Gospel Enhancements cannot be negated. You may convert this card to meek to play a Lost Soul from a deck. BOTTOM: Meek	Common	John 1:47		Good	Rotation
Bartholomew (Nathaniel) (Ap)	Ap	Bartholomew_(Nathaniel)_(Ap)	Apostles	Hero	Blue	10	10		Disciple		Rare	Luke 6:13-16		Good	
Bartimaeus	Pmo-P1	Bartimaeus_(Promo)	Promo	Hero	Purple	2	4			Good enhancements with 'Faith' in the title cannot be negated.	Promo	Mark 10:48		Good	
Bartimaeus (2022 - Regional)	Pmo-P2	Bartimaeus	Promo	Hero	Gold	3	5		Gospel	You may reserve the top card of a deck. You may reveal a good Dominant from hand to take a good gold Gospel Enhancement from discard pile or Reserve. Cannot be negated.	Promo	Mark 10:46		Good	Rotation
Baruch, Son of Zabbai (Roots)	RR	066-Baruch-Son-of-Zabbai.jpg	Roots	Hero	Gold	11	10	Warrior	Postexilic	You may draw 1 or play a good O.T. Fortress from Reserve. May band to a postexilic Hero.		Nehemiah 3:20		Good	Rotation
Basemath (LoC)	LoC	LoC_169-Basemath	Lineage of Christ	Evil Character	Black/Crimson	2	5		Canaanite, Edomite	You may bounce a Hero. Opponent may banish a card of matching brigade from hand instead. May band to Esau. Cannot be negated if opponent used a search ability this turn.	Common	Genesis 26:34		Evil	Rotation
Bathsheba	Wom	Bathsheba_(Wo)	Women	Hero	Purple	5	5				Common	II Samuel 11:2		Good	
Bathsheba (FoM)	FoM	109-Bathsheba	Fall of Man	Hero	Purple	5	5		Queen of Israel	May band to David or you may exchange Bathsheba with a purple King from Reserve. Cannot be negated if Uriah is in your discard pile.	Common	II Samuel 11:2		Good	Rotation
Bathsheba, the Helper / Bathsheba, the Prostrate (LoC)	LoC	LoC_108-Bathsheba	Lineage of Christ	Hero	Purple (Purple/Red)	2(1)	6(2)	Territory, Star	Queen of Israel and Judah	STAR: Topdeck a good king from deck. TOP: If your lone David or Solomon attacks, you may convert this card to meek to choose an evil human to block. BOTTOM: Meek	Common	I Kings 1:6		Good	Rotation
Battering Ram	Pat	Battering_Ram_(Pa)	Patriarchs	EE	Multi	2	2			If three or more Evil Character's are in battle, discard one O.T. Fortress site.  Ability cannot be prevented or negated.	Ultra Rare	Ezekiel 4:2		Evil	
Battle Axe (Ki)	Ki	Battle_Axe_(Ki)	Kings	GE	Red	4	3			Hero ignores gray brigade.	Common	Jeremiah 51:20		Good	
Battle Axe (L)	Main	Battle_Axe_(UL)	Main	GE	Red	2	0				Common	Jeremiah 51:20		Good	
Battle Axe (UL)	Main UL	Battle_Axe_(UL)	Main Unlimited	GE	Red	2	0				Common	Jeremiah 51:20		Good	
Battle Axe (Wa)	War	Battle_Axe_(Wa)	Warriors	GE	Red	4	3			Hero ignores gray brigade.	Common	Jeremiah 51:20		Good	
Battle Cry	Pat	Battle_Cry_(Pa)	Patriarchs	GE	Red					Interrupt the battle and band into battle as many Heroes from holder's territory as holder chooses.	Rare	Joshua 6:5		Good	
Battle Neutralized	Ki	Battle_Neutralized_(Ki)	Kings	GE	White					The battle immediately ends in a stalemate.  All characters in battle return to territories.  All enhancements in battle are discarded.	Uncommon	I Kings 20:13		Good	
Battle Prayer (Ki)	Ki	Battle_Prayer_(Ki)	Kings	GE	Gold	4	3			Search your draw pile or discard pile for any good gold brigade enhancement and add it to your hand.  Shuffle card pile.	Common	Psalm 140:7-8		Good	
Battle Prayer (Roots)	RR	103-Battle-Prayer.jpg	Roots	GE	Purple	4	3		Involves music	You may take a good O.T. Enhancement from deck, discard pile or Reserve.		Psalm 140:7		Good	Rotation
Battle Prayer (Wa)	War	Battle_Prayer_(Wa)	Warriors	GE	Gold	3	3			Search through your draw pile or discard pile and select one Gold Enhancement Card.  Shuffle card pile.	Common	Psalm 140:7-8		Good	
Bear	2E	Bear_(DU)	2nd Edition	Evil Character	Black	7	8			Bear is immune to red brigade.	Deck	Daniel 7:5		Evil	
Bear (CoW AB)	CoW (AB)	CoW_AB_N112-Bear	Cloud of Witnesses (Alternate Border)	Evil Character	Crimson	6	6		Animal, Genderless, Generic, X = # of opponent’s good brigades	You may look at X random cards in opponent’s hand and shuffle lamb icon cards. Protect Lost Souls from rescue unless Bear is discarded. Cannot be interrupted by a good card.	Common	I Samuel 17:34		Evil	Rotation
Bear (CoW)	CoW	Bear_(CoW)	Cloud of Witnesses	Evil Character	Crimson	6	6		Animal, Genderless, Generic, X = # of opponent's good brigades	You may look at X random cards in opponent's hand and shuffle lamb icon cards. Protect Lost Souls from rescue unless Bear is discarded. Cannot be interrupted by a good card.	Common	I Samuel 17:34		Evil	Rotation
Bearing Bad News	Ki	Bearing_Bad_News_(Ki)	Kings	EE	Gray					If a unique human Evil Character is discarded as a result of this battle, no Lost Soul may be rescued by a Hero this turn.	Common	II Samuel 18:32		Evil	
Bearing Grudges	IR	102-Bearing-Grudges-R	Israel's Rebellion	EE	Brown	0	0	Territory		Discard a Hero (or banish a Hero if an O.T. Curse is in play).	Rare	Leviticus 19:18		Evil	Rotation
Bearing Our Sin	PoC	116-Bearing-Our-Sin	Prophecies of Christ	GE	Green/Red/Teal	3	2	Territory, Star	Involves music, Unity: Heroes (Share a brigade)	STAR: Reserve this card to draw 1. GE: Heal your prophet, priest or king to add a Hero of matching brigade to battle.	Common	Isaiah 53:12		Good	Rotation
Beast from the Earth (L)	Main	Beast_from_the_Earth_(UL)	Main	Evil Character	Brown	10	10				Rare	Revelation 13:11		Evil	
Beast from the Earth (RoJ AB)	RoJ (AB)	RoJ_AB_N122-Beast-from-the-Earth	Revelation of John (Alternate Border)	Evil Character	Orange	2	7	Territory	Beast, Demon	During battle, if opponent plays a good Enhancement with a brigade not already in battle, you may underdeck a good card in a territory. If blocking, search deck or Reserve for a card with “Beast” in the title.	Common	Revelation 13:11		Evil	Rotation
Beast from the Earth (RoJ)	RoJ	122-Beast-from-the-Earth	Revelation of John	Evil Character	Orange	2	7	Territory	Beast, Demon	During battle, If opponent plays a good enhancement with a brigade not already in battle, you may underdeck a good card in a territory. If blocking, search deck or Reserve for a card with "Beast" in the title.	Common	Revelation 13:11		Evil	Rotation
Beast from the Earth (UL)	Main UL	Beast_from_the_Earth_(UL)	Main Unlimited	Evil Character	Brown	10	10				Rare	Revelation 13:11		Evil	
Beast from the Earth (Wa)	War	Beast_from_the_Earth_(Wa)	Warriors	Evil Character	Brown	5	7			Character is immune to all female heroes.	Uncommon	Revelation 13:11		Evil	
Beast from the Sea (L)	Main	Beast_from_the_Sea_(UL)	Main	Evil Character	Pale Green	10	10				Rare	Revelation 13:1		Evil	
Beast from the Sea (RoJ AB)	RoJ (AB)	RoJ_AB_N117-Beast-from-the-Sea	Revelation of John (Alternate Border)	Evil Character	Orange	8	9	Territory	Beast, Demon	If an opponent uses a draw or search ability (except on an evil card), you may topdeck a N.T. Lost Soul. Cannot be negated if Red Dragon or The False Prophet is in play.	Common	Revelation 13:1		Evil	Rotation
